Id,SalePrice
1461,120513.112426
1462,159690.715336
1463,182671.032246
1464,195165.842981
1465,192853.568312
1466,171496.856124
1467,176302.510293
1468,165844.916262
1469,187800.164445
1470,123983.101479
1471,189422.227189
1472,97282.3723901
1473,97435.7975306
1474,146821.180509
1475,112411.141566
1476,367994.039516
1477,251377.198955
1478,289317.855562
1479,294629.73287
1480,489075.128607
1481,341770.171294
1482,216962.062383
1483,175866.779453
1484,161431.253472
1485,185053.366153
1486,195025.467475
1487,343249.640936
1488,237911.766206
1489,194105.291063
1490,237574.178494
1491,189514.055043
1492,91989.0702682
1493,179640.803524
1494,292978.5922
1495,290015.526499
1496,229311.941326
1497,177434.53943
1498,161777.76455
1499,158057.629163
1500,154228.521793
1501,176517.203118
1502,147364.699485
1503,283955.331747
1504,245667.117671
1505,229276.193035
1506,190063.393905
1507,241394.437489
1508,194679.512325
1509,164120.599016
1510,143739.924965
1511,149738.947423
1512,172950.112816
1513,137420.143943
1514,150670.035111
1515,192163.980287
1516,151515.471071
1517,166248.377428
1518,131265.1754
1519,212150.417211
1520,133262.631479
1521,134295.07073
1522,174246.898182
1523,112261.128787
1524,125610.261415
1525,121119.637965
1526,107497.74829
1527,105234.670745
1528,142571.503296
1529,151789.980885
1530,180328.104492
1531,106334.43297
1532,96552.9664182
1533,148928.87975
1534,124329.201635
1535,155983.693454
1536,107353.513329
1537,62438.2007152
1538,152504.614361
1539,197388.099108
1540,91066.0251284
1541,144204.129019
1542,139967.874511
1543,199030.224871
1544,84520.1944085
1545,109381.79286
1546,130102.692377
1547,129954.175203
1548,136034.370816
1549,118551.508422
1550,131671.056611
1551,108900.402962
1552,136671.437958
1553,149735.22647
1554,116322.074902
1555,170814.544921
1556,87472.8173865
1557,101910.438745
1558,96074.9006565
1559,78479.1515271
1560,131217.132081
1561,124547.554546
1562,126835.457087
1563,118689.501475
1564,160957.895646
1565,142546.779125
1566,251214.269425
1567,73893.3884808
1568,238300.121887
1569,130142.800513
1570,141502.761632
1571,126937.052166
1572,148471.62306
1573,248392.186409
1574,120630.766603
1575,229100.663187
1576,236242.987963
1577,181859.988043
1578,139044.137135
1579,148309.913044
1580,196506.398708
1581,155913.558967
1582,124241.803545
1583,302822.810574
1584,221518.419774
1585,138087.894817
1586,65865.7961688
1587,99770.4073826
1588,156906.314058
1589,93447.2872579
1590,135907.290974
1591,96829.1812713
1592,115883.76603
1593,120597.452532
1594,124516.223993
1595,109385.764804
1596,227684.790464
1597,196114.411314
1598,222735.113265
1599,166243.103478
1600,160459.104642
1601,61846.0769997
1602,109411.577139
1603,80829.2617838
1604,274352.255325
1605,240046.508307
1606,170657.035395
1607,174619.32131
1608,215222.084085
1609,183736.012078
1610,157127.21371
1611,137490.431204
1612,168198.982392
1613,163825.784143
1614,125330.296892
1615,94774.8274704
1616,80071.9315404
1617,92799.729261
1618,124887.463443
1619,138941.910513
1620,157734.644511
1621,138570.436891
1622,141338.865833
1623,268025.954127
1624,211643.008946
1625,115825.924561
1626,162746.240196
1627,191684.356728
1628,271189.651233
1629,178413.882615
1630,354955.538888
1631,230533.550988
1632,245022.01394
1633,172224.694166
1634,186421.112777
1635,174961.105354
1636,151270.011748
1637,193873.80889
1638,185449.130311
1639,178521.277201
1640,258154.100482
1641,179580.248645
1642,239971.036604
1643,223470.169459
1644,235877.915128
1645,203261.944943
1646,160265.128891
1647,158265.037048
1648,129807.869784
1649,143937.712745
1650,111561.551674
1651,123041.016357
1652,98714.4287419
1653,101310.651461
1654,144090.862835
1655,137092.537784
1656,140250.135836
1657,146072.361025
1658,142152.984578
1659,115246.024468
1660,149743.303703
1661,456905.504727
1662,403344.314158
1663,388602.997643
1664,502954.782765
